Project,Scenario,Dollar_year,Weather_year,Start_day,census_division,country,tz,t
Standard_scenarios_2020,HighRECost,2019$,2012,Sunday,PA,usa,PT,2040
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
2040-01-01 03:00:00,2040-01-01 00:00:00,30192.1,30018.2,28675.9,0.0,29266.9,0.0,0.0,173.9,0.0447,0.0584,900.5,0.0,75.1,0.0,303.9,0.0,0.0,0.0,278.4,323.5,458.6,264.0,37.02,0.0,0.0,1.74,38.76,39.32,0.0,0.0,1.84,41.16,22443.2,751.2,0.0,0.0,0.0,0.0,15950.7,0.0,0.0,1260.6,3217.6,202.5,751.2,0.0,0.0,0.0,0.0,0.0,1060.5,0.0
2040-01-01 04:00:00,2040-01-01 01:00:00,28744.6,28588.2,27327.6,0.0,27766.0,0.0,0.0,156.4,0.0441,0.0556,857.6,0.0,82.2,0.0,290.0,0.0,0.0,0.0,283.5,333.1,435.8,274.4,37.02,0.0,0.0,3.9,40.91,39.2,0.0,0.0,4.13,43.33,21649.0,822.2,0.0,0.0,0.0,0.0,15805.6,0.0,0.0,1260.6,3217.6,202.5,822.2,0.0,0.0,0.0,0.0,0.0,340.4,0.0
2040-01-01 05:00:00,2040-01-01 02:00:00,27690.0,27546.7,26342.9,0.0,26725.8,0.0,0.0,143.3,0.0437,0.0536,826.4,0.0,82.1,0.0,279.6,0.0,0.0,0.0,285.8,339.3,421.6,287.3,37.01,0.0,0.0,1.76,38.77,39.11,0.0,0.0,1.85,40.96,21093.6,820.8,0.0,0.0,0.0,0.0,15597.4,0.0,0.0,1260.6,3217.6,197.1,820.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 06:00:00,2040-01-01 03:00:00,26967.0,26846.8,25680.1,0.0,26067.1,0.0,0.0,120.1,0.0435,0.0523,805.4,0.0,78.0,0.0,272.4,0.0,0.0,0.0,281.4,335.4,471.0,293.5,37.02,0.0,0.0,1.75,38.77,39.06,0.0,0.0,1.84,40.9,21622.9,779.8,0.0,0.0,0.0,0.0,15628.3,0.0,0.0,1260.6,3217.6,197.1,779.8,0.0,0.0,0.0,0.0,0.0,539.4,0.0
2040-01-01 07:00:00,2040-01-01 04:00:00,26845.6,26723.3,25563.0,0.0,25885.0,0.0,0.0,122.3,0.0434,0.052,801.7,0.0,83.8,0.0,271.4,0.0,0.0,0.0,283.1,335.0,411.4,258.7,36.92,0.0,0.0,1.76,38.68,38.95,0.0,0.0,1.84,40.79,21404.9,838.3,0.0,0.0,0.0,0.0,15628.3,0.0,0.0,1260.6,3217.6,197.1,838.3,0.0,0.0,0.0,0.0,0.0,263.0,0.0
2040-01-01 08:00:00,2040-01-01 05:00:00,27057.4,26928.8,25757.7,0.0,26116.7,0.0,0.0,128.6,0.0435,0.0524,807.9,0.0,81.2,0.0,273.3,0.0,0.0,0.0,284.8,334.3,447.6,236.4,37.02,0.0,0.0,1.75,38.77,39.07,0.0,0.0,1.83,40.9,21253.3,812.1,0.0,0.0,0.0,0.0,15628.3,0.0,0.0,1260.6,3217.6,197.1,812.1,0.0,0.0,0.0,0.0,0.0,137.4,0.0
2040-01-01 09:00:00,2040-01-01 06:00:00,27584.1,27457.2,26258.0,0.0,26421.7,0.0,0.0,126.9,0.0437,0.0535,823.7,0.0,103.5,0.0,279.7,0.0,0.0,0.0,277.3,325.0,413.1,216.0,37.02,0.0,0.0,1.73,38.74,39.11,0.0,0.0,1.81,40.92,21951.6,1035.4,0.0,0.0,0.0,0.0,15628.3,0.0,0.0,1260.6,3217.6,167.7,1035.4,0.0,0.0,0.0,0.0,0.0,641.9,0.0
2040-01-01 10:00:00,2040-01-01 07:00:00,27708.7,27604.7,26397.4,0.0,22591.1,0.0,0.0,104.0,0.0437,0.0538,828.1,0.0,2396.9,0.0,452.9,0.0,0.0,0.0,218.0,256.1,441.2,232.9,35.55,0.0,0.0,3.9,39.46,37.58,0.0,0.0,4.13,41.7,22611.5,5013.6,0.0,0.0,0.0,0.0,12951.9,0.0,0.0,1260.6,3217.6,167.7,1172.9,0.0,100.2,2951.2,789.4,0.0,0.0,0.0
2040-01-01 11:00:00,2040-01-01 08:00:00,33461.9,28443.3,27190.1,4450.1,4088.3,538.2,3911.9,568.5,0.0441,0.0554,853.3,0.0,2404.4,0.0,462.1,0.0,0.0,0.0,80.1,95.7,370.6,96.7,29.03,0.0,0.0,3.9,32.93,30.73,0.0,0.0,4.13,34.85,36753.1,24354.9,0.0,0.0,0.0,0.0,7752.2,0.0,0.0,1260.6,3217.6,167.7,1062.3,0.0,413.8,18227.5,4651.3,0.0,0.0,0.0
2040-01-01 12:00:00,2040-01-01 09:00:00,41866.5,29329.7,28026.7,11999.8,-5486.4,8087.9,3911.9,537.0,0.0444,0.0571,879.9,0.0,2386.0,0.0,470.1,0.0,0.0,0.0,59.2,72.9,371.3,78.2,28.43,0.0,0.0,3.89,32.32,30.24,0.0,0.0,4.13,34.37,46718.0,34816.1,0.0,0.0,0.0,0.0,7256.0,0.0,0.0,1260.6,3217.6,167.7,877.7,0.0,506.5,26756.5,6675.4,0.0,0.0,0.0
