Project,Scenario,Dollar_year,Weather_year,Start_day,census_division,country,tz,t
Standard_scenarios_2020,HighRECost,2019$,2012,Sunday,PA,usa,PT,2020
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
2020-01-01 03:00:00,2020-01-01 00:00:00,25750.8,25674.3,24526.2,0.0,25013.1,0.0,0.0,76.5,0.0447,0.0584,770.2,0.0,66.1,0.0,260.0,0.0,0.0,0.0,281.3,331.3,858.8,379.9,26.85,0.0,0.0,0.0,26.85,28.52,0.0,0.0,0.0,28.52,22994.7,661.2,2240.0,0.0,0.0,0.0,16156.0,0.0,0.0,1256.2,2041.0,640.3,661.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 04:00:00,2020-01-01 01:00:00,24518.4,24451.3,23373.0,0.0,23736.4,0.0,0.0,67.1,0.0441,0.0556,733.5,0.0,71.5,0.0,248.1,0.0,0.0,0.0,276.0,321.4,465.2,347.9,26.68,0.0,0.0,0.0,26.68,28.25,0.0,0.0,0.0,28.25,22225.7,714.9,2240.0,0.0,0.0,0.0,15353.2,0.0,0.0,1256.2,2041.0,620.4,714.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 05:00:00,2020-01-01 02:00:00,23626.4,23560.4,22530.9,0.0,22856.5,0.0,0.0,66.0,0.0437,0.0536,706.8,0.0,70.4,0.0,239.1,0.0,0.0,0.0,275.1,311.9,1136.7,317.5,26.22,0.0,0.0,0.0,26.22,27.71,0.0,0.0,0.0,27.71,22064.4,703.9,2240.0,0.0,0.0,0.0,15202.8,0.0,0.0,1256.2,2041.0,620.4,703.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 06:00:00,2020-01-01 03:00:00,23023.2,22961.9,21964.0,0.0,22297.5,0.0,0.0,61.3,0.0435,0.0523,688.9,0.0,66.4,0.0,232.9,0.0,0.0,0.0,275.5,303.5,452.6,297.9,25.99,0.0,0.0,0.0,25.99,27.42,0.0,0.0,0.0,27.42,22024.9,664.4,2240.0,0.0,0.0,0.0,15202.8,0.0,0.0,1256.2,2041.0,620.4,664.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 07:00:00,2020-01-01 04:00:00,22922.8,22856.2,21863.8,0.0,22135.9,0.0,0.0,66.6,0.0434,0.052,685.7,0.0,72.0,0.0,232.2,0.0,0.0,0.0,272.7,304.5,452.5,304.7,26.04,0.0,0.0,0.0,26.04,27.46,0.0,0.0,0.0,27.46,21772.6,720.3,2240.0,0.0,0.0,0.0,14880.5,0.0,0.0,1256.2,2041.0,634.6,720.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 08:00:00,2020-01-01 05:00:00,23098.4,23032.0,22030.4,0.0,22359.7,0.0,0.0,66.4,0.0435,0.0524,691.0,0.0,67.2,0.0,233.7,0.0,0.0,0.0,273.3,305.6,1161.3,283.8,26.4,0.0,0.0,0.0,26.4,27.86,0.0,0.0,0.0,27.86,21724.6,672.3,2240.0,0.0,0.0,0.0,14880.5,0.0,0.0,1256.2,2041.0,634.6,672.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 09:00:00,2020-01-01 06:00:00,23546.3,23483.9,22458.2,0.0,22639.1,0.0,0.0,62.4,0.0437,0.0535,704.5,0.0,84.5,0.0,239.1,0.0,0.0,0.0,270.2,305.1,1213.7,220.0,27.23,0.0,0.0,0.0,27.23,28.76,0.0,0.0,0.0,28.76,21709.4,844.8,2240.0,0.0,0.0,0.0,14692.8,0.0,0.0,1256.2,2041.0,634.6,844.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 10:00:00,2020-01-01 07:00:00,23642.2,23610.1,22577.5,0.0,20979.0,0.0,0.0,32.1,0.0437,0.0538,708.3,0.0,1058.9,0.0,313.2,0.0,0.0,0.0,248.5,265.5,1089.7,178.6,26.45,0.0,0.0,0.0,26.45,27.95,0.0,0.0,0.0,27.95,23350.8,2631.1,2240.0,0.0,0.0,0.0,14547.8,0.0,0.0,1256.2,2041.0,634.6,919.6,0.0,143.1,972.0,596.4,0.0,0.0,0.0
2020-01-01 11:00:00,2020-01-01 08:00:00,25924.6,24327.3,23255.5,1556.9,13494.3,0.0,1556.9,40.4,0.0441,0.0554,729.8,0.0,1053.0,0.0,320.2,0.0,0.0,0.0,148.2,156.9,787.6,99.0,24.11,0.0,0.0,0.0,24.11,25.54,0.0,0.0,0.0,25.54,27211.8,10833.0,2240.0,0.0,0.0,0.0,10206.9,0.0,0.0,1256.2,2041.0,634.6,829.6,0.0,589.5,5905.4,3508.5,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 09:00:00,27527.4,25085.5,23971.0,2346.8,9951.9,681.8,1665.0,95.1,0.0444,0.0571,752.6,0.0,1037.4,0.0,327.0,0.0,0.0,0.0,118.4,125.5,1137.6,79.3,23.38,0.0,0.0,0.0,23.38,24.8,0.0,0.0,0.0,24.8,30442.2,15133.5,2240.0,0.0,0.0,0.0,9183.8,0.0,0.0,1256.2,2041.0,587.6,673.8,0.0,720.2,8707.2,5032.3,0.0,0.0,0.0
