timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
1/1/2050 3:00,1/1/2050 0:00,34375.5,34281.7,32748.8,0,33504.1,0,0,93.8,0.0447,0.0584,1028.5,0,77.8,0,346.7,0,0,0,229.8,255.9,432.5,146.5,39.26,0,0,0.61,39.86,41.69,0,0,0.65,42.34,30276.3,777.6,0,0,0,0,16988.7,0,0,1258.4,3405.1,221.1,504,273.6,0,0,0,0,7625.4,0
1/1/2050 4:00,1/1/2050 1:00,32771.8,32648.7,31209,0,31849.5,0,0,123.1,0.0441,0.0556,979.5,0,79.9,0,330.5,0,0,0,249.3,275.1,445,144.9,39.26,0,0,0.61,39.87,41.57,0,0,0.65,42.22,27002.9,799.2,0,0,0,0,16988.7,0,0,1455.6,3405.1,221.1,568,231.2,0,0,0,0,4133,0
1/1/2050 5:00,1/1/2050 2:00,31573.9,31459.2,30084.5,0,30684.7,0,0,114.7,0.0437,0.0536,943.8,0,77.4,0,318.5,0,0,0,247.4,269.8,442.5,138.1,39.26,0,0,0.61,39.87,41.48,0,0,0.65,42.13,26862.9,774.5,0,0,0,0,16843.6,0,0,1258.4,3115.9,221.1,546.5,228,0,0,0,0,4649.3,0
1/1/2050 6:00,1/1/2050 3:00,30820.8,30660,29327.5,0,29935.5,0,0,160.8,0.0435,0.0523,919.8,0,72.4,0,310.2,0,0,0,278.9,292.5,441.9,143.1,39.26,0,0,0.61,39.88,41.43,0,0,0.65,42.08,23343.3,724.5,0,0,0,0,16988.7,0,0,1258.4,3115.9,221.1,493.2,231.2,0,0,0,649.2,385.5,0
1/1/2050 7:00,1/1/2050 4:00,30642.5,30518.9,29193.8,0,29747.1,0,0,123.7,0.0434,0.052,915.6,0,77.2,0,309,0,0,0,256.6,275.1,444.3,138.1,39.22,0,0,0.62,39.83,41.37,0,0,0.65,42.02,25570.9,771.7,0,0,0,0,16843.6,0,0,1258.4,3115.9,226.5,530.7,241,0,0,0,0,3354.7,0
1/1/2050 8:00,1/1/2050 5:00,30882.2,30753.6,29416.2,0,29914.7,0,0,128.5,0.0435,0.0524,922.6,0,83.9,0,311.7,0,0,0,261.9,280.7,431.5,138,39.26,0,0,0.61,39.88,41.43,0,0,0.65,42.08,25226.8,838.9,0,0,0,0,16988.7,0,0,1258.4,3051.3,226.5,539.3,299.6,0,0,0,0,2863,0
1/1/2050 9:00,1/1/2050 6:00,31483.4,31357,29987.5,0,30129.1,0,0,126.4,0.0437,0.0535,940.7,0,122.8,0,319.7,0,0,0,253.9,273.9,421.7,131.1,39.26,0,0,0.61,39.88,41.48,0,0,0.65,42.13,25705.7,1227.9,0,0,0,0,16656.1,0,0,1258.4,3051.3,226.5,775.1,452.7,0,0,0,0,3285.6,0
1/1/2050 10:00,1/1/2050 7:00,31725.8,31525.5,30146.7,0,25127.2,0,0,200.3,0.0437,0.0538,945.8,0,2823,0,522.9,0,0,0,207.8,231.9,422.3,138.3,37.84,0,0,0.61,38.45,40,0,0,0.64,40.64,24753.6,6398.3,0,0,0,0,13819.2,0,0,1258.4,3051.3,226.5,929.4,700.3,0,3473.9,1294.7,0,0,0
1/1/2050 11:00,1/1/2050 8:00,40444.7,32483.2,31052,7425.1,694.8,5760.1,1665,536.4,0.0441,0.0554,974.5,0,3405,0,574.4,0,0,0,55.9,65.6,330.9,135.2,30.89,0,0,0.61,31.5,32.77,0,0,0.65,33.42,42870.8,31788.4,0,0,0,0,6546.3,0,0,1258.4,3051.3,226.5,839,1498.2,0,21800.6,7650.5,0,0,0
1/1/2050 12:00,1/1/2050 9:00,57188.8,33495.5,32007.5,23085.4,-12966.2,19173.5,3911.9,607.9,0.0444,0.0571,1004.9,0,3483.3,0,588.4,0,0,0,41.6,52.5,365.3,105.7,30.88,0,0,0.61,31.49,32.82,0,0,0.65,33.47,57544.2,46461.7,0,0,0,0,6546.3,0,0,1258.4,3051.3,226.5,671.6,2449.3,0,32348.5,10992.3,0,0,0
1/1/2050 13:00,1/1/2050 10:00,57230.4,34339.4,32802.7,22448.4,-13712.4,18536.5,3911.9,442.6,0.0448,0.0586,1030.2,0,3490.4,0,597.2,0,0,0,40.5,50.2,352.1,107,30.87,0,0,0.61,31.48,32.87,0,0,0.65,33.52,59134.2,48051.8,0,0,0,0,6546.3,0,0,1258.4,3051.3,226.5,413.1,2778.3,0,34131.3,10729.2,0,0,0
1/1/2050 14:00,1/1/2050 11:00,55923.3,34502.1,32955.9,21023.8,-11884.3,17111.9,3911.9,397.4,0.0448,0.0588,1035.1,0,3516.2,0,600.1,0,0,0,41.7,51.6,336.3,118.9,30.88,0,0,0.61,31.49,32.87,0,0,0.65,33.52,57468.8,46386.4,0,0,0,0,6546.3,0,0,1258.4,3051.3,226.5,398.2,3051.9,0,33035.5,9900.9,0,0,0
1/1/2050 15:00,1/1/2050 12:00,55283.8,34454.6,32911.2,20378.5,-10612.6,16466.6,3911.9,450.8,0.0448,0.0588,1033.6,0,3519.9,0,599.8,0,0,0,42.7,53,342.3,121.8,30.89,0,0,0.61,31.5,32.87,0,0,0.65,33.51,56149.6,45067.2,0,0,0,0,6546.3,0,0,1258.4,3051.3,226.5,379.3,3107.2,0,31877.6,9703,0,0,0
1/1/2050 16:00,1/1/2050 13:00,57073.5,34456,32912.5,22301.8,-11810.5,18389.9,3911.9,315.7,0.0448,0.0588,1033.7,0,3509.4,0,599.3,0,0,0,41.8,52.5,301.1,128.1,30.86,0,0,0.61,31.48,32.86,0,0,0.65,33.51,57349,46266.5,0,0,0,0,6546.3,0,0,1258.4,3051.3,226.5,375.6,3006.3,0,34141,8743.7,0,0,0
1/1/2050 17:00,1/1/2050 14:00,58431.6,34388.3,32848.9,23665.8,-14550.1,19753.9,3911.9,377.5,0.0448,0.0586,1031.6,0,3489.1,0,597.6,0,0,0,39.9,49.3,341.7,118.9,29.34,0,0,0.61,29.95,31.22,0,0,0.65,31.87,60020.8,48938.4,0,0,0,0,6546.3,0,0,1258.4,3051.3,226.5,370.9,2807.6,0,36526.4,9233.5,0,0,0
1/1/2050 18:00,1/1/2050 15:00,52855.9,34633.2,33079.1,17998.6,-8397.5,15511.1,2487.5,224.1,0.0449,0.0591,1039,0,3539.9,0,602.6,0,0,0,44.3,54.8,371.2,136.9,30.84,0,0,0.61,31.45,32.87,0,0,0.65,33.52,54137.2,43030.7,0,0,0,0,6546.3,0,0,1258.4,3051.3,250.6,429.3,3257.1,0,31318.2,8026,0,0,0
1/1/2050 19:00,1/1/2050 16:00,36048.6,35976.7,34341.8,0,19279.1,0,0,71.9,0.0454,0.0614,1079.3,0,3550.1,0,616.6,0,0,0,128.8,147.9,395.6,140.3,39.46,0,0,0.61,40.07,42.04,0,0,0.65,42.69,34238.9,16697.6,0,0,0,0,11902.3,0,0,1258.4,3051.3,250.6,531.6,3257.1,0,10119.2,2789.7,0,1078.8,0
1/1/2050 20:00,1/1/2050 17:00,41481,41361.1,39370.3,0,37507.6,0,0,119.9,0.0481,0.0706,1240.8,0,385.3,0,432.9,0,0,0,133.5,148.4,412.2,134.1,40.15,0,0,-0.05,40.1,43.2,0,0,-0.05,43.15,37893.8,3853.5,0,0,0,0,11902.3,0,0,5969.6,3051.3,256,596.4,3257.1,0,0,0,42,12819.1,0
1/1/2050 21:00,1/1/2050 18:00,42459.3,42314.4,40255.6,0,38346.7,0,0,144.9,0.0487,0.0722,1269.4,0,396.8,0,443,0,0,0,133.5,149.3,438.7,143,40.15,0,0,-0.05,40.1,43.27,0,0,-0.05,43.22,38295,3967.7,0,0,0,0,11902.3,0,0,5616,3051.3,256,710.7,3257.1,0,0,0,548.7,12953,0
1/1/2050 22:00,1/1/2050 19:00,41898,41767.2,39748.1,0,37683.6,0,0,130.8,0.0483,0.0712,1253,0,408.4,0,438.1,0,0,0,139.7,156,419.9,148.5,40.15,0,0,-0.05,40.1,43.23,0,0,-0.05,43.18,37830,4083.6,0,0,0,0,11902.3,0,0,3184.1,3051.3,256,826.5,3257.1,0,0,0,1665,13687.8,0
1/1/2050 23:00,1/1/2050 20:00,40963.9,40789.4,38839.3,0,36716.6,0,0,174.5,0.0478,0.0696,1223.7,0,407.3,0,428.3,0,0,0,141.3,156.5,426.3,147.1,40.15,0,0,0.32,40.46,43.15,0,0,0.34,43.49,35735.9,4072.7,0,0,0,0,11902.3,0,0,4298.3,3051.3,256,848.3,3224.5,0,0,0,1665,10490.3,0
1/2/2050 0:00,1/1/2050 21:00,39320.7,39163.5,37324.6,0,35073.4,0,0,157.1,0.047,0.0668,1174.9,0,409,0,412.1,0,0,0,143.3,154.6,450.6,146.1,41.33,0,0,0.32,41.65,44.29,0,0,0.34,44.62,34781.2,4090.1,0,0,0,0,11902.3,0,0,4051.6,3051.3,219.7,833.1,3257.1,0,0,0,1650.1,9816,0
1/2/2050 1:00,1/1/2050 22:00,36846.1,36689.5,35010.9,0,32568.1,0,0,156.6,0.0458,0.0625,1100.7,0,412.1,0,387.5,0,0,0,150.4,162.3,426.1,136.5,41.34,0,0,0.32,41.66,44.09,0,0,0.34,44.43,32430.2,4121.4,0,0,0,0,11902.3,0,0,3407.2,3051.3,219.7,864.3,3257.1,0,0,0,1623,8105.3,0
1/2/2050 2:00,1/1/2050 23:00,34263.5,34101.7,32579.3,0,29964.7,0,0,161.8,0.0446,0.0581,1023.1,0,413.7,0,361.7,0,0,0,165.2,176.6,416.7,142,41.33,0,0,0.61,41.94,43.88,0,0,0.65,44.53,29771.7,4137,0,0,0,0,11902.3,0,0,1258.4,3051.3,219.7,880,3257.1,0,0,0,1654.7,7548.4,0
1/2/2050 3:00,1/2/2050 0:00,32136.8,31863.9,30467.3,0,27520.5,0,0,272.9,0.0438,0.0543,955.9,0,434.3,0,340.4,0,0,0,177.4,186.9,405.3,145.5,41.34,0,0,0.61,41.95,43.71,0,0,0.65,44.36,25925.9,4343.4,0,0,0,0,11814.6,0,0,1651.5,3051.3,219.7,1086.3,3257.1,0,0,0,1665,3180.4,0
