timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
1/1/2030 3:00,1/1/2030 0:00,27357.6,27200,25983.8,0,26414.1,0,0,157.6,0.0447,0.0584,816,0,78.6,0,275.9,0,0,0,296.9,332.1,473.1,195.7,35.73,0,0,0,35.73,37.94,0,0,0,37.94,21025.3,785.9,0,0,0,0,15704.2,0,0,1258.1,2549.4,691.8,785.9,0,0,0,0,16.8,19.2,0
1/1/2030 4:00,1/1/2030 1:00,26029,25904.3,24762,0,25057.3,0,0,124.7,0.0441,0.0556,777.1,0,84.7,0,263.3,0,0,0,296.3,330,821.2,191,35.32,0,0,0,35.32,37.4,0,0,0,37.4,21050.5,847,0,0,0,0,15704.2,0,0,1258.1,2549.4,691.8,847,0,0,0,0,0,0,0
1/1/2030 5:00,1/1/2030 2:00,25054.3,24960.6,23869.8,0,24118.4,0,0,93.8,0.0437,0.0536,748.8,0,84.2,0,253.8,0,0,0,295.9,323.4,461,186.8,35.12,0,0,0,35.12,37.11,0,0,0,37.11,21145.3,842.2,0,0,0,0,15730.9,0,0,1258.1,2549.4,691.8,842.2,0,0,0,0,0,72.9,0
1/1/2030 6:00,1/1/2030 3:00,24406.2,24326.5,23269.2,0,23520.6,0,0,79.7,0.0435,0.0523,729.8,0,80.6,0,247.3,0,0,0,296.9,316.8,815.8,184.1,35.04,0,0,0,35.04,36.97,0,0,0,36.97,21009.3,805.8,0,0,0,0,15704.2,0,0,1258.1,2549.4,691.8,805.8,0,0,0,0,0,0,0
1/1/2030 7:00,1/1/2030 4:00,24290,24214.5,23163.1,0,23350.2,0,0,75.5,0.0434,0.052,726.4,0,86.4,0,246.5,0,0,0,296.1,315.6,784.1,184.3,34.88,0,0,0,34.88,36.79,0,0,0,36.79,21067.7,864.3,0,0,0,0,15704.2,0,0,1258.1,2549.4,691.8,864.3,0,0,0,0,0,0,0
1/1/2030 8:00,1/1/2030 5:00,24491.7,24400.7,23339.6,0,23573.6,0,0,91,0.0435,0.0524,732,0,82.7,0,248.1,0,0,0,296.2,320.3,464.6,174.8,35.44,0,0,0,35.44,37.4,0,0,0,37.4,20970.8,827.2,0,0,0,0,15644.4,0,0,1258.1,2549.4,691.8,827.2,0,0,0,0,0,0,0
1/1/2030 9:00,1/1/2030 6:00,24977.7,24879.5,23792.8,0,23881.8,0,0,98.2,0.0437,0.0535,746.4,0,99.8,0,253.8,0,0,0,287.1,313.3,468,183.1,35.66,0,0,0,35.66,37.68,0,0,0,37.68,21158.3,997.7,0,0,0,0,15308.3,0,0,1258.1,2907.9,686.4,997.7,0,0,0,0,0,0,0
1/1/2030 10:00,1/1/2030 7:00,25134.8,25013.2,23919.2,0,20786.8,0,0,121.6,0.0437,0.0538,750.4,0,1854,0,386.5,0,0,0,229.5,258.8,443,184.2,33.74,0,0,0,33.74,35.66,0,0,0,35.66,21736.7,4226.4,0,0,0,0,12657.9,0,0,1258.1,2907.9,686.4,1090.2,0,143.1,2145.1,848.1,0,0,0
1/1/2030 11:00,1/1/2030 8:00,30273,25773,24637.5,3911.9,6421,0,3911.9,588.1,0.0441,0.0554,773.2,0,1863.5,0,395,0,0,0,90.4,107.4,373.2,133.5,25.85,0,0,0,25.85,27.35,0,0,0,27.35,31400.1,19352,0,0,0,0,7195.8,0,0,1258.1,2907.9,686.4,999.5,0,589.5,12764.2,4998.8,0,0,0
1/1/2030 12:00,1/1/2030 9:00,33615.2,26576.2,25395.6,6528.4,-793.2,2616.5,3911.9,510.6,0.0444,0.0571,797.3,0,1848.3,0,402.3,0,0,0,72,76.4,849.6,133.3,18.29,0,0,0,18.29,19.39,0,0,0,19.39,39417.5,27369.4,0,0,0,0,7195.8,0,0,1258.1,2907.9,686.4,847.1,0,720.2,18627.3,7174.8,0,0,0
1/1/2030 13:00,1/1/2030 10:00,33988.2,27245.8,26026.5,6211.4,533.5,2299.5,3911.9,531.1,0.0448,0.0586,817.4,0,1826.3,0,407.9,0,0,0,73.4,77.1,1143.4,135.9,21.85,0,0,0,21.85,23.2,0,0,0,23.2,38643.9,26712.2,0,0,0,0,7195.8,0,0,1258.1,2907.9,569.9,627.1,0,703.4,18377.8,7003.9,0,0,0
1/1/2030 14:00,1/1/2030 11:00,33241.3,27374.9,26148.1,5310.2,2813.9,1398.3,3911.9,556.2,0.0448,0.0588,821.2,0,1825.3,0,409.1,0,0,0,77.9,79.2,1152.8,137.4,22.03,0,0,0,22.03,23.39,0,0,0,23.39,36429.6,24561,0,0,0,0,7195.8,0,0,1258.1,2907.9,506.9,617.3,0,656.5,16823.3,6463.9,0,0,0
1/1/2030 15:00,1/1/2030 12:00,32320.2,27337.2,26112.6,4433.4,3256.5,521.5,3911.9,549.7,0.0448,0.0588,820.1,0,1824.1,0,408.7,0,0,0,78.9,80.6,1278.2,137.7,22.03,0,0,0,22.03,23.39,0,0,0,23.39,35949.3,24080.7,0,0,0,0,7195.8,0,0,1258.1,2907.9,506.9,605.6,0,651.2,16487.1,6336.9,0,0,0
1/1/2030 16:00,1/1/2030 13:00,33618.8,27338.3,26113.7,5698.4,2652,1786.5,3911.9,582,0.0448,0.0588,820.1,0,1824.2,0,408.7,0,0,0,77.4,79.5,1152.4,136.6,22.02,0,0,0,22.02,23.39,0,0,0,23.39,36645,24686.4,0,0,0,0,7195.8,0,0,1258.1,2907.9,596.9,606.8,0,683.6,17685,5711,0,0,0
1/1/2030 17:00,1/1/2030 14:00,34388.8,27284.6,26063.2,6528.4,1206.9,2616.5,3911.9,575.8,0.0448,0.0586,818.5,0,1823.4,0,408.1,0,0,0,74.6,76.7,1257.7,139.9,20.88,0,0,0,20.88,22.18,0,0,0,22.18,38036.3,26077.7,0,0,0,0,7195.8,0,0,1258.1,2907.9,596.9,598.6,0,705,18743.3,6030.8,0,0,0
1/1/2030 18:00,1/1/2030 15:00,31882.5,27478.9,26245.9,3911.9,5340.7,0,3911.9,491.7,0.0449,0.0591,824.4,0,1828.7,0,410.3,0,0,0,83.2,92.7,349.3,137.9,24.82,0,0,0,24.82,26.36,0,0,0,26.36,34096.8,22138.2,0,0,0,0,7195.8,0,0,1258.1,2907.9,596.9,651.9,0,575.6,15669.7,5241,0,0,0
1/1/2030 19:00,1/1/2030 16:00,28687.6,28544.9,27247.7,0,21259.2,0,0,142.8,0.0454,0.0614,856.3,0,1837,0,421.4,0,0,0,205.3,204.3,1218.8,161.4,35.73,0,0,0,35.73,38.06,0,0,0,38.06,25131.8,7285.7,0,0,0,0,13083.2,0,0,1258.1,2907.9,596.9,734.1,0,148.1,4583.7,1819.8,0,0,0
1/1/2030 20:00,1/1/2030 17:00,33155.4,32817,31237.4,0,32038.7,0,0,338.4,0.0481,0.0706,984.5,0,77.8,0,332.1,0,0,0,220.3,231.3,544.8,174,37.63,0,0,0,37.63,40.49,0,0,0,40.49,26813.1,778.3,0,0,0,0,13083.2,0,0,3447.7,2907.9,596.9,778.3,0,0,0,0,3911.9,2087.2,0
1/1/2030 21:00,1/1/2030 18:00,33892.6,33573.4,31939.9,0,32705.1,0,0,319.2,0.0487,0.0722,1007.2,0,86.8,0,340.1,0,0,0,218.5,232.7,509.5,168.4,37.63,0,0,0,37.63,40.56,0,0,0,40.56,27259.2,868.3,0,0,0,0,13083.2,0,0,3347.5,2907.9,596.9,868.3,0,0,0,0,3911.9,2543.5,0
1/1/2030 22:00,1/1/2030 19:00,33453.8,33139.2,31537.2,0,32183.5,0,0,314.6,0.0483,0.0712,994.2,0,95.6,0,336.2,0,0,0,221.6,235.9,509,191.4,37.63,0,0,0,37.63,40.52,0,0,0,40.52,26848.7,955.7,0,0,0,0,13083.2,0,0,2921.5,2900.5,596.9,955.7,0,0,0,0,3911.9,2479.1,0
1/1/2030 23:00,1/1/2030 20:00,32654.6,32363.4,30816.1,0,31417.8,0,0,291.2,0.0478,0.0696,970.9,0,94.6,0,328.4,0,0,0,218.1,233.2,473.2,182.3,37.63,0,0,0,37.63,40.44,0,0,0,40.44,25713.5,945.6,0,0,0,0,13083.2,0,0,4322.6,2900.5,596.9,945.6,0,0,0,0,1713.2,2151.5,0
1/2/2030 0:00,1/1/2030 21:00,31345.1,31073.4,29614.4,0,30159.2,0,0,271.7,0.047,0.0668,932.2,0,91.4,0,315.3,0,0,0,243.7,262.7,502.6,186.6,37.74,0,0,0,37.74,40.44,0,0,0,40.44,24086.1,914.2,0,0,0,0,14382.9,0,0,3626.6,2900.5,596.9,914.2,0,0,0,0,1665,0,0
1/2/2030 1:00,1/1/2030 22:00,29342,29110.4,27778.5,0,28181.4,0,0,231.6,0.0458,0.0625,873.3,0,92.9,0,295.7,0,0,0,258.5,268.7,506.4,183.9,37.12,0,0,0,37.12,39.6,0,0,0,39.6,22705.9,929,0,0,0,0,14382.9,0,0,2231.7,2900.5,596.9,929,0,0,0,0,1665,0,0
1/2/2030 2:00,1/1/2030 23:00,27285.2,27057.2,25849.3,0,26132.8,0,0,228,0.0446,0.0581,811.7,0,92.4,0,275.2,0,0,0,278,283.9,508.8,185.8,37.01,0,0,0,37.01,39.29,0,0,0,39.29,20659,924.4,0,0,0,0,14382.9,0,0,1362.5,2900.5,596.9,924.4,0,0,0,0,491.9,0,0
1/2/2030 3:00,1/2/2030 0:00,25475.5,25281.6,24173.6,0,24311.6,0,0,193.9,0.0438,0.0543,758.4,0,97,0,257.7,0,0,0,280.9,300.8,469.2,193.8,36.14,0,0,0,36.14,38.21,0,0,0,38.21,19785.9,970,0,0,0,0,14060.5,0,0,1258.1,2900.5,596.9,970,0,0,0,0,0,0,0
1/2/2030 4:00,1/2/2030 1:00,24440.8,24312.7,23256.2,0,23402.9,0,0,128.1,0.0435,0.0522,729.4,0,91,0,247.7,0,0,0,284.9,319.2,468.2,189.9,36.14,0,0,0,36.14,38.13,0,0,0,38.13,20508.6,909.8,0,0,0,0,14857.5,0,0,1258.1,2900.5,582.7,909.8,0,0,0,0,0,0,0
1/2/2030 5:00,1/2/2030 2:00,23892.1,23784.9,22755.6,0,22889.8,0,0,107.2,0.0433,0.0511,713.5,0,89.5,0,242.3,0,0,0,284.8,324.4,467.6,186.1,36.14,0,0,0,36.14,38.08,0,0,0,38.08,20519.9,895.1,0,0,0,0,14857.5,0,0,1258.1,2900.5,608.8,895.1,0,0,0,0,0,0,0
1/2/2030 6:00,1/2/2030 3:00,23687.8,23542.6,22525.7,0,22644.4,0,0,145.2,0.0432,0.0506,706.3,0,89.8,0,239.9,0,0,0,283.3,313.3,472.2,183.3,36.14,0,0,0,36.14,38.06,0,0,0,38.06,20153.5,898.2,0,0,0,0,14488,0,0,1258.1,2900.5,608.8,898.2,0,0,0,0,0,0,0
1/2/2030 7:00,1/2/2030 4:00,24119.3,23954,22916,0,23062.6,0,0,165.4,0.0433,0.0515,718.6,0,89.1,0,244,0,0,0,283.4,301.8,424,183.3,36.14,0,0,0,36.14,38.1,0,0,0,38.1,20146.6,891.3,0,0,0,0,14488,0,0,1258.1,2900.5,608.8,891.3,0,0,0,0,0,0,0
1/2/2030 8:00,1/2/2030 5:00,25183.5,24962.9,23871.9,0,24087.1,0,0,220.7,0.0437,0.0536,748.9,0,87.6,0,254,0,0,0,280.1,280.1,883,173.9,36.49,0,0,0,36.49,38.56,0,0,0,38.56,19560.1,875.8,0,0,0,0,13917,0,0,1258.1,2900.5,608.8,875.8,0,0,0,0,0,0,0
1/2/2030 9:00,1/2/2030 6:00,26568,26331.7,25165.2,0,25472,0,0,236.4,0.0443,0.0566,790,0,86,0,267.6,0,0,0,276.5,279.4,425.2,182.6,37,0,0,0,37,39.22,0,0,0,39.22,19882.7,859.7,0,0,0,0,13917,0,0,1422.7,2900.5,608.8,859.7,0,0,0,0,174.1,0,0
