Project,Scenario,Dollar_year,Weather_year,Start_day,census_division,country,tz,t
Standard_scenarios_2020,LowRECost,2019$,2012,Sunday,PA,usa,PT,2040
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
2040-01-01 03:00:00,2040-01-01 00:00:00,30245.3,30018.2,28675.9,0.0,28228.0,0.0,0.0,227.2,0.0447,0.0584,900.5,0.0,179.0,0.0,309.1,0.0,0.0,0.0,245.4,281.9,440.3,118.7,37.64,0.0,0.0,0.0,37.64,39.98,0.0,0.0,0.0,39.98,20769.1,1790.1,0.0,0.0,0.0,0.0,12664.8,0.0,0.0,1258.1,3126.8,297.3,1671.5,118.6,0.0,0.0,0.0,649.2,982.8,0.0
2040-01-01 04:00:00,2040-01-01 01:00:00,28835.0,28588.2,27327.6,0.0,26700.3,0.0,0.0,246.8,0.0441,0.0556,857.6,0.0,188.8,0.0,295.3,0.0,0.0,0.0,250.4,289.0,439.0,144.3,37.65,0.0,0.0,0.0,37.65,39.87,0.0,0.0,0.0,39.87,19825.5,1888.0,0.0,0.0,0.0,0.0,12545.5,0.0,0.0,1258.1,3126.8,297.3,1787.7,100.3,0.0,0.0,0.0,0.0,709.9,0.0
2040-01-01 05:00:00,2040-01-01 02:00:00,27780.8,27546.7,26342.9,0.0,25691.7,0.0,0.0,234.1,0.0437,0.0536,826.4,0.0,185.5,0.0,284.7,0.0,0.0,0.0,257.8,297.9,393.8,135.6,37.64,0.0,0.0,0.0,37.64,39.78,0.0,0.0,0.0,39.78,19378.9,1855.0,0.0,0.0,0.0,0.0,12664.8,0.0,0.0,1258.1,3126.8,267.9,1756.1,98.9,0.0,0.0,0.0,0.0,206.3,0.0
2040-01-01 06:00:00,2040-01-01 03:00:00,27103.4,26846.8,25680.1,0.0,25079.2,0.0,0.0,256.6,0.0435,0.0523,805.4,0.0,176.8,0.0,277.3,0.0,0.0,0.0,261.1,305.1,414.2,138.3,37.65,0.0,0.0,0.0,37.65,39.73,0.0,0.0,0.0,39.73,19085.3,1767.7,0.0,0.0,0.0,0.0,12664.8,0.0,0.0,1258.1,3126.8,267.9,1667.4,100.3,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 07:00:00,2040-01-01 04:00:00,26950.7,26723.3,25563.0,0.0,24911.2,0.0,0.0,227.4,0.0434,0.052,801.7,0.0,181.2,0.0,276.3,0.0,0.0,0.0,251.9,296.6,414.1,136.4,37.65,0.0,0.0,0.0,37.65,39.72,0.0,0.0,0.0,39.72,19241.4,1812.0,0.0,0.0,0.0,0.0,12268.1,0.0,0.0,1610.3,3126.8,267.9,1707.5,104.5,0.0,0.0,0.0,0.0,156.2,0.0
2040-01-01 08:00:00,2040-01-01 05:00:00,27156.8,26928.8,25757.7,0.0,25114.2,0.0,0.0,228.0,0.0435,0.0524,807.9,0.0,181.5,0.0,278.4,0.0,0.0,0.0,254.8,289.8,393.4,118.1,37.65,0.0,0.0,0.0,37.65,39.74,0.0,0.0,0.0,39.74,18497.0,1814.6,0.0,0.0,0.0,0.0,11945.7,0.0,0.0,1258.1,3126.8,267.9,1684.7,129.9,0.0,0.0,0.0,16.8,67.1,0.0
2040-01-01 09:00:00,2040-01-01 06:00:00,27681.4,27457.2,26258.0,0.0,25336.8,0.0,0.0,224.2,0.0437,0.0535,823.7,0.0,212.0,0.0,285.2,0.0,0.0,0.0,249.8,281.6,393.9,114.6,37.65,0.0,0.0,0.0,37.65,39.78,0.0,0.0,0.0,39.78,18898.5,2120.3,0.0,0.0,0.0,0.0,11945.7,0.0,0.0,1258.1,3126.8,267.9,1924.1,196.3,0.0,0.0,0.0,0.0,179.7,0.0
2040-01-01 10:00:00,2040-01-01 07:00:00,27854.0,27604.7,26397.4,0.0,21237.8,0.0,0.0,249.3,0.0437,0.0538,828.1,0.0,2614.2,0.0,466.2,0.0,0.0,0.0,179.5,228.2,466.4,119.9,35.84,0.0,0.0,0.0,35.84,37.88,0.0,0.0,0.0,37.88,20449.0,6367.0,0.0,0.0,0.0,0.0,9429.2,0.0,0.0,1258.1,3126.8,267.9,2041.8,303.6,100.2,2656.2,1265.2,0.0,0.0,0.0
2040-01-01 11:00:00,2040-01-01 08:00:00,33690.3,28443.3,27190.1,4590.0,1207.3,678.1,3911.9,657.0,0.0441,0.0554,853.3,0.0,2725.3,0.0,482.4,0.0,0.0,0.0,44.7,46.9,289.7,82.9,22.34,0.0,0.0,0.0,22.34,23.64,0.0,0.0,0.0,23.64,36076.5,27236.0,0.0,0.0,0.0,0.0,4187.8,0.0,0.0,1258.1,3126.8,267.9,1935.9,649.6,413.8,16744.1,7492.5,0.0,0.0,0.0
2040-01-01 12:00:00,2040-01-01 09:00:00,42807.3,29329.7,28026.7,12956.2,-9712.2,9044.3,3911.9,521.3,0.0444,0.0571,879.9,0.0,2745.6,0.0,492.2,0.0,0.0,0.0,33.7,37.8,1045.6,60.4,19.86,0.0,0.0,0.0,19.86,21.11,0.0,0.0,0.0,21.11,47882.5,39042.0,0.0,0.0,0.0,0.0,4187.8,0.0,0.0,1258.1,3126.8,267.9,1726.8,1061.9,506.5,24969.0,10777.7,0.0,0.0,0.0
